"","protname","zscore","cscore","gmpdprotname","tm_close","tm_nonclose","tm_vector","tm_intermediate","parphylum","parclass","parorder","parfamily"
"1","Babesia bicornis",-1,2,"Babesia bicornis",NA,NA,NA,NA,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"2","Babesia divergens",0,1,"Babesia divergens",NA,NA,NA,NA,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"3","Blepharocorys jubata",-1,3,"Blepharocorys jubata",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae"
"4","Charonina hippopotami",-1,3,"Charonina hippopotami",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae"
"5","Cycloposthium bipalmatum",-1,3,"Cycloposthium bipalmatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"6","Cycloposthium corrugatum",-1,3,"Cycloposthium corrugatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"7","Cycloposthium dentiferum",-1,3,"Cycloposthium dentiferum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"8","Cycloposthium edentatum",-1,3,"Cycloposthium edentatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"9","Cycloposthium scutigerum",-1,3,"Cycloposthium scutigerum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"10","Diplodinium anacanthum",-1,3,"Diplodinium anacanthum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"11","Diplodinium dentatum",-1,2,"Diplodinium dentatum",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"12","Diploplastron affine",-1,2,"Diploplastron affine",NA,NA,NA,NA,"Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"13","Eimeria crispus",-1,2,"Eimeria crispus",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"14","Eimeria hreindyria",-1,3,"Eimeria hreindyria",NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
