"","protname","zscore","cscore","gmpdprotname","tm_close","tm_nonclose","tm_vector","tm_intermediate","parphylum","parclass","parorder","parfamily","zoostat"
"1","Babesia bigemina",-1,1,"Babesia bigemina",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"2","Babesia bovis",-1,1,"Babesia bovis",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"3","Babesia cellii",-1,3,"Babesia cellii",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"4","Babesia cynicti",-1,3,"Babesia cynicti",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"5","Babesia equi",-1,1,"Babesia equi",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"6","Babesia lotori",-1,3,"Babesia lotori",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"7","Babesia microti",0,1,"Babesia microti",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"8","Babesia missirolii",-1,3,"Babesia missirolii",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"9","Babesia odocoilei",-1,2,"Babesia odocoilei",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"10","Babesia ovis",-1,1,"Babesia ovis",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"11","Babesia pitheci",-1,3,"Babesia pitheci",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"12","Babesia propitheci",-1,3,"Babesia propitheci",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"13","Babesia rossi",-1,1,"Babesia rossi",0,0,1,0,"Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",0
"14","Balantidium aragaoi",-1,3,"Balantidium aragaoi",1,1,0,0,"Ciliophora","Litostomatea","Vestibuliferida","Balantidiidae",0
"15","Balantidium coli",1,1,"Balantidium coli",1,1,0,0,"Ciliophora","Litostomatea","Vestibuliferida","Balantidiidae",1
"16","Besnoitia tarandi",-1,2,"Besnoitia tarandi",0,1,1,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
"17","Blastocystis hominis",0,1,"Blastocystis hominis",1,1,0,0,"Heterokontophyta","Blastocystea","Blastocystida","Blastocystidae",0
"18","Chilomastix mesnili",0,1,"Chilomastix mesnili",1,1,0,0,"Metamonada","Eopharyngia","Retortamonadida","Chilomastigidae",0
"19","Cryptosporidium parvum",0,1,"Cryptosporidium parvum",1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Cryptosporidiidae",0
"20","Cyclospora cercopitheci",-1,3,"Cyclospora cercopitheci",1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"21","Cyclospora colobi",-1,2,"Cyclospora colobi",1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"22","Cyclospora papionis",-1,2,"Cyclospora papionis",1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"23","Cystoisospora canis",-1,1,"Cystoisospora canis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae",0
"24","Cystoisospora felis",-1,1,"Cystoisospora felis",0,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae",0
