"","OBJECTID","AREA","PERIMETER","ECO_NAME","REALM","BIOME","ECO_NUM","ECO_ID","ECO_SYM","GBL_STAT","G200_REGIO","G200_NUM","G200_BIOME","G200_STAT","Shape_Leng","Shape_Area","area_km2","eco_code","PER_area","PER_area_1","PER_area_2","ID","geometry"
"13685",13587,215332.894764,47.115,"Southern Africa bushveld","AT",7,17,30717,79,2,NA,0,0,0,47.1138097402,18.9081277412,222541,"AT0717",0,0,0,880,c(29.15, -19.02)
"9427",9085,8576.61346168,12.662,"Tamaulipan matorral","NA",13,11,51311,106,1,NA,0,0,0,12.6614970135,0.766884657293,16237,"NA1311",0,0,0,1357,c(-100, 25.59)
"9427.1",9085,8576.61346168,12.662,"Tamaulipan matorral","NA",13,11,51311,106,1,NA,0,0,0,12.6614970135,0.766884657293,16237,"NA1311",0,0,0,1358,c(-100, 25.59)
"10863",10702,12500.1278564,9.504,"Sri Lanka lowland rain forests","IM",1,54,40154,70,1,"Sri Lankan moist forest",21,1,1,9.50380099045,1.02250223567,12500,"IM0154",0,0,0,1115,c(81, 7)
"13962",14092,185863.217348,37.651,"Highveld grasslands","AT",10,9,31009,149,1,NA,0,0,0,37.6507268919,16.9992883024,185863,"AT1009",0,0,0,630,c(27.18, -26.66)
"13962.1",14092,185863.217348,37.651,"Highveld grasslands","AT",10,9,31009,149,1,NA,0,0,0,37.6507268919,16.9992883024,185863,"AT1009",0,0,0,631,c(29.98, -26.5)
"13962.2",14092,185863.217348,37.651,"Highveld grasslands","AT",10,9,31009,149,1,NA,0,0,0,37.6507268919,16.9992883024,185863,"AT1009",0,0,0,632,c(27.45, -26.9)
"13712",13616,586846.004082,46.112,"Kalahari xeric savanna","AT",13,9,31309,105,3,NA,0,0,0,46.1106567316,52.398039851,586846,"AT1309",0,0,0,633,c(25.53, -28.23)
"13978",14115,348913.373169,79.893,"Nama Karoo","AT",13,14,31314,84,2,"Namib-Karoo-Kaokoveld Deserts and Shrublands",124,13,2,79.8918074831,32.6979587451,350726,"AT1314",0,0,0,755,c(25.4, -32.19)
"10746",10552,314152.78679,62.084,"Northern Acacia-Commiphora bushlands and thickets","AT",7,11,30711,107,1,"East African Acacia Savannas",87,7,2,62.0805806387,25.5510852122,324482,"AT0711",0,0,0,1703,c(37.26, -2.63)
"8826",8321,234626.575669,71.413,"Southeastern conifer forests","NA",5,29,50529,71,1,"Southeastern conifer and broadleaf forests",75,5,1,71.4114316514,21.998634252,236352,"NA0529",0,0,0,1910,c(-81.67, 30.33)
"6",6,19867.1747045,14.323,"Everglades","NT",9,4,60904,59,2,"Everglades Flooded Grasslands",100,9,0,14.3227723161,1.79328359697,20028,"NT0904",0,0,0,1911,c(-81.34, 26.12)
"6.1",6,19867.1747045,14.323,"Everglades","NT",9,4,60904,59,2,"Everglades Flooded Grasslands",100,9,0,14.3227723161,1.79328359697,20028,"NT0904",0,0,0,1912,c(-81.34, 26.12)
