"","gmpdprotname","parphylum","parclass","parorder","parfamily"
"1","Babesia bicornis","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"2","Babesia bigemina","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"3","Babesia bovis","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"4","Babesia cellii","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"5","Babesia cynicti","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"6","Babesia divergens","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"7","Babesia equi","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"8","Babesia EU2","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"9","Babesia lotori","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"10","Babesia microti","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"11","Babesia missirolii","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"12","Babesia odocoilei","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"13","Babesia ovis","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"14","Babesia pitheci","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"15","Babesia propitheci","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"16","Babesia rossi","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"17","Balantidium aragaoi","Ciliophora","Litostomatea","Vestibuliferida","Balantidiidae"
"18","Balantidium coli","Ciliophora","Litostomatea","Vestibuliferida","Balantidiidae"
"19","Besnoitia tarandi","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"20","Blastocystis hominis","Heterokontophyta","Blastocystea","Blastocystida","Blastocystidae"
"21","Blepharocorys jubata","Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae"
"22","Charonina hippopotami","Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae"
"23","Chilomastix mesnili","Metamonada","Eopharyngia","Retortamonadida","Chilomastigidae"
"24","Cryptosporidium parvum","Apicomplexa","Coccidia","Eucoccidiorida","Cryptosporidiidae"
"25","Cucurvella vivax","Ciliophora",NA,NA,NA
"26","Cycloposthium bipalmatum","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"27","Cycloposthium corrugatum","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"28","Cycloposthium dentiferum","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"29","Cycloposthium edentatum","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"30","Cycloposthium scutigerum","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae"
"31","Cyclospora cayetanensis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"32","Cyclospora cercopitheci","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"33","Cyclospora colobi","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"34","Cyclospora papionis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"35","Cystoisospora belli","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"36","Cystoisospora canis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"37","Cystoisospora felis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"38","Cystoisospora ohioensis","Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae"
"39","Cytauxzoon felis","Apicomplexa","Aconoidasida","Achromatorida","Theileriidae"
"40","Cytauxzoon felis","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae"
"41","Cytauxzoon manul","Apicomplexa","Aconoidasida","Piroplasmida","Theileriidae"
"42","Dientamoeba fragilis","Metamonada","Trichomonada","Trichomonadida","Monocercomonadidae"
"43","Diplodinium anacanthum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"44","Diplodinium dentatum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"45","Diploplastron affine","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"46","Eimeria auburnensis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"47","Eimeria bovis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"48","Eimeria crispus","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"49","Eimeria felina","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"50","Eimeria furonis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"51","Eimeria hreindyria","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"52","Eimeria ictidea","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"53","Eimeria kamoshika","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"54","Eimeria macusaniensis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"55","Eimeria madisonensis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"56","Eimeria mayeri","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"57","Eimeria mccordocki","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"58","Eimeria melis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"59","Eimeria mephitidis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"60","Eimeria nuttalli","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"61","Eimeria odocoilei","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"62","Eimeria pachylepyron","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"63","Eimeria procyonis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"64","Eimeria rangiferis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"65","Eimeria serowi","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"66","Eimeria vulpis","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"67","Eimeria zuernii","Apicomplexa","Coccidia","Eucoccidiorida","Eimeriidae"
"68","Elyplastron bubali","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"69","Endolimax nana","Amoebozoa","Archamoebae","Mastigamoebida","Mastigamoebidae"
"70","Entamoeba chattoni","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae"
"71","Entamoeba coli","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae"
"72","Entamoeba dispar","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae"
"73","Entamoeba hartmanni","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae"
"74","Entamoeba histolytica","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae"
"75","Entamoeba polecki","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae"
"76","Entodinium bicornutum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"77","Entodinium bursa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"78","Entodinium caudatum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"79","Entodinium dubardi","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"80","Entodinium furca","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"81","Entodinium minimum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"82","Entodinium rectangulatum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"83","Entopolypoides macaci","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae"
"84","Epidinium bulbiferum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
"85","Epidinium caudatum","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae"
